rank,species
1,Coryphopterus_personatus
2,Gramma_loreto
3,Stegastes_partitus
4,Thalassoma_bifasciatum
5,Atherinomorus_stipes
6,Serranus_baldwini
7,Opistognathus_macrognathus
8,Halichoeres_garnoti
9,Holocentrus_rufus
10,Acanthurus_coeruleus
