Region,Rank,Species,,
Costa Rica, 31,–,,
Costa Rica, 32,–,,
Costa Rica, 33,–,,
Costa Rica, 34,–,,
Costa Rica, 35,–,,
Costa Rica, 36,–,,
Costa Rica, 37,–,,
Costa Rica, 38,–,,
Costa Rica, 39,–,,
Costa Rica, 40,–,,
Costa Rica, 41,–,,
Costa Rica, 42,–,,
Costa Rica, 43,–,,
Costa Rica, 44,–,,
Costa Rica, 45,–,,
Costa Rica, 46,–,,
Costa Rica, 47,–,,
Costa Rica, 48,–,,
Costa Rica, 49,–,,
Costa Rica, 50,–,,
Costa Rica, 51,–,,
Costa Rica, 52,–,,
Costa Rica, 53,–,,
Costa Rica, 54,–,,
Florida, 1,A. stipes,,
Florida, 2,H. aurolineatum,,
Florida, 3,S. baldwini,,
Florida, 4,S. hispidus,,
Florida, 5,A. pseudomaculatus,,
Florida, 6,–,,
Florida, 7,–,,
Florida, 8,–,,
Florida, 9,–,,
Florida, 10,–,,
Florida, 11,–,,
Florida, 12,–,,
Florida, 13,–,,
Florida, 14,–,,
Florida, 15,–,,
Florida, 16,–,,
Florida, 17,–,,
Florida, 18,–,,
Florida, 19,–,,
Florida, 20,–,,
Florida, 21,–,,
Florida, 22,–,,
Florida, 23,–,,
Florida, 24,–,,
Florida, 25,–,,
Florida, 26,–,,
Florida, 27,–,,
Florida, 28,–,,
Florida, 29,–,,
Florida, 30,–,,
Florida, 31,–,,
Florida, 32,–,,
Florida, 33,–,,
Florida, 34,–,,
Florida, 35,–,,
Florida, 36,–,,
Florida, 37,–,,
Florida, 38,–,,
Florida, 39,–,,
Florida, 40,–,,
Florida, 41,–,,
Florida, 42,–,,
Florida, 43,–,,
Florida, 44,–,,
Florida, 45,–,,
Florida, 46,–,,
Florida, 47,–,,
Florida, 48,–,,
Florida, 49,–,,
Florida, 50,–,,
Florida, 51,–,,
Florida, 52,–,,
Florida, 53,–,,
Florida, 54,–,,
nwGOM, 1,C. manningi,,
nwGOM, 2,T. bifasciatum,,
nwGOM, 3,P. marmoreus,,
nwGOM, 4,S. variabilis,,
nwGOM, 5,C. multilineata,,
nwGOM, 6,S. atomarium,,
nwGOM, 7,C. parrae,,
nwGOM, 8,H. maculipinna,,
nwGOM, 9,S. planifrons,,
nwGOM, 10,A. pseudomaculatus,,
nwGOM, 11,S. partitus,,
nwGOM, 12,L. carmabi,,
nwGOM, 13,A. maculatus,,
nwGOM, 14,S. aurofrenatum,,
nwGOM, 15,B. rufus,,
nwGOM, 16,P. pigmentaria,,
nwGOM, 17,G. oceanops,,
nwGOM, 18,H. bathyphilus,,
nwGOM, 19,S. radians,,
nwGOM, 20,L. rubre,,
nwGOM, 21,C. thrix,,
nwGOM, 22,A. chirurgus,,
nwGOM, 23,P. acuminatus,,
nwGOM, 24,C. eidolon,,
nwGOM, 25,O. aurifrons,,
nwGOM, 26,O. macclurei,,
nwGOM, 27,C. insolata,,
nwGOM, 28,G. loreto,,
nwGOM, 29,P. furcifer,,
nwGOM, 30,S. ocellata,,
nwGOM, 31,H. cruentatus,,
nwGOM, 32,E. adscensionis,,
nwGOM, 33,C. scotti,,
nwGOM, 34,E. pandionis,,
nwGOM, 35,A. pinos,,
nwGOM, 36,S. vetula,,
nwGOM, 37,A. affinis,,
nwGOM, 38,E. gryllus,,
nwGOM, 39,H. garnoti,,
nwGOM, 40,S. occidentalis,,
